StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],trans-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],"2,3-dimethyl-butane_[ppbV]",3-methyl-pentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_[ppbV]",p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],n-decane_[ppbV]
06/12/2017 14:04,06/12/2017 14:34,,,1.022,,0.166,,,0.05,,0.05,,,,,,,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 15:03,06/12/2017 15:33,,,0.776,,0.125,,,,,,,,,,,,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 16:03,06/12/2017 16:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 17:03,06/12/2017 17:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 18:03,06/12/2017 18:32,,,0.624,,,,,,,,,0.066,,,,,,0.052,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 19:02,06/12/2017 19:32,,,0.417,,0.079,,,,,,,0.057,,,,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 20:02,06/12/2017 20:32,,,0.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 21:02,06/12/2017 21:32,,,0.471,,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 22:01,06/12/2017 22:32,,0.104,0.809,,0.287,,,,,0.057,,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 23:01,06/12/2017 23:31,,0.146,6.751,,4.152,0.524,,1.356,,0.434,,,0.465,,,,,0.17,,0.21,,0.127,,,,,0.071,0.077,,,,,,,,,,,,,,,
06/13/2017 0:01,06/13/2017 0:31,,0.096,3.993,,2.259,0.32,,0.735,,0.287,,,0.19,,,,,0.174,,0.093,,0.069,,,,,,,,,,,,,,,,,,,,,
06/13/2017 1:01,06/13/2017 1:31,,0.125,3.333,,1.684,0.256,,0.595,,0.261,,,0.203,,,,,0.175,,0.125,,0.103,,,,,,,,,,,,,,,,,,,,,
06/13/2017 2:00,06/13/2017 2:30,,0.099,6.319,,5.296,0.595,,1.171,,0.547,,,0.464,,,,,0.36,0.051,0.283,,0.146,,,,,0.069,0.065,,,,,,,,,,,,,,,
06/13/2017 2:59,06/13/2017 3:29,,0.202,5.146,,3.932,0.642,,1.553,,0.509,,,0.473,,,,,0.27,,0.179,,0.105,,,,,,,,,,,,,,,,,,,,,
06/13/2017 3:59,06/13/2017 4:29,,,1.588,,0.775,,,0.213,,0.094,,,,,,,,0.087,,,,0.059,,,,,,,,,,,,,,,,,,,,,
06/13/2017 4:59,06/13/2017 5:29,0.417,0.546,0.762,,0.57,,,0.127,,0.112,,,,,,,,0.105,,,,0.065,,,,,,,,,,,,,,,,,,,,,
06/13/2017 5:59,06/13/2017 6:29,0.248,0.372,2.713,,1,0.173,,0.458,,0.261,,,0.211,,,,,0.243,,0.143,,0.08,,,,,,,,0.071,,,,,,,,,,,,,
06/13/2017 6:58,06/13/2017 7:28,,,1.456,,0.405,,,0.156,,0.115,,,,,,,,0.111,,,,0.063,,,,,,,,,,,,,,,,,,,,,
06/13/2017 7:58,06/13/2017 8:28,,0.061,0.719,,0.244,,,,,,,,,,,,,0.066,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2017 8:58,06/13/2017 9:28,,,0.366,,0.262,,,,,,,,,,,,,0.07,,,,0.057,,,,,,,,,,,,,,,,,,,,,
06/13/2017 9:57,06/13/2017 10:27,,,0.674,,0.534,,,,,,,,,,,,,0.065,,,,0.056,,,,,,,,,,,,,,,,,,,,,
06/13/2017 10:57,06/13/2017 11:27,,,0.817,,0.479,,,0.1,,,,,,,,,,0.06,,,,0.057,,,,,,,,,,,,,,,,,,,,,
06/13/2017 13:56,06/13/2017 14:26,,,0.631,,0.103,,,,,,,,,,,,,0.053,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2017 14:56,06/13/2017 15:26,,,0.109,,0.309,,,,,,,,,,,,,0.061,,,,0.058,,,,,,,,,,,,,,,,,,,,,
06/13/2017 15:56,06/13/2017 16:26,,,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2017 16:56,06/13/2017 17:25,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2017 17:55,06/13/2017 18:25,,,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2017 18:55,06/13/2017 19:25,,,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2017 19:55,06/13/2017 20:25,,,0.78,,,,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2017 20:54,06/13/2017 21:24,,,1.865,,0.713,0.099,,0.298,,0.188,,,0.154,,,,,0.224,,0.134,,0.095,,,,,,,,,,,,,,,,,,,,,
06/13/2017 21:54,06/13/2017 22:24,,,0.175,,,,,,,,,,,,,,,,,,,0.053,,,,,,,,,,,,,,,,,,,,,
06/13/2017 22:54,06/13/2017 23:24,,,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2017 23:53,06/14/2017 0:23,,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/14/2017 0:53,06/14/2017 1:23,,,0.18,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,
06/14/2017 1:53,06/14/2017 2:23,,,0.541,,,,,,,,,,,,,,,0.05,,,,0.056,,,,,,,,,,,,,,,,,,,,,
06/14/2017 2:53,06/14/2017 3:23,,,0.637,,,,,,,,,,,,,,,0.051,,,,0.057,,,,,,,,,,,,,,,,,,,,,
06/14/2017 3:52,06/14/2017 4:23,,,0.666,,0.257,,,,,,,,,,,,,0.061,,,,0.062,,,,,,,,,,,,,,,,,,,,,
06/14/2017 4:52,06/14/2017 5:22,0.145,0.268,8.379,,3.994,0.701,,1.608,,0.704,,,0.685,,,,,0.53,0.095,0.421,,0.18,,,,,0.091,0.077,,,,,,,,,,,,,,,
06/14/2017 5:52,06/14/2017 6:21,,0.145,1.413,,0.562,,,0.131,,0.102,,,,,,,,0.117,,,,0.07,,,,,,,,,,,,,,,,,,,,,
06/14/2017 6:51,06/14/2017 7:21,,,0.525,,0.095,,,,,0.073,,,,,,,,0.117,,,,0.069,,,,,,,,,,,,,,,,,,,,,
06/14/2017 7:50,06/14/2017 8:20,,,2.056,,0.743,0.094,,0.305,,0.202,,,0.146,,,,,0.232,,0.141,,0.085,,,,,,,,,,,,,,,,,,,,,
