StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],trans-2-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],cis-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],1-hexene_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",styrene_[ppbV],o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",n-propyl-benzene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],"1,2,3-trimethyl-benzene_[ppbV]",n-decane_[ppbV],m-diethyl-benzene_[ppbV]
07/29/2017 18:43:00,07/29/2017 19:13:00,0.171,0.139,7.695,,4.329,0.839,,1.95,,0.651,0.655,,,0.706800875,,,0.088,,0.065,0.08,0.207,0.058,,,,0.053,,0.089,0.08,0.137,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 19:43:00,07/29/2017 20:13:00,0.273,0.176,11.459,,6.128,1.161,,2.505,,0.843,0.865,,,0.929823187,,,0.138,,0.101,0.118,0.294,0.073,0.057,,,0.089,,0.106,0.106,0.136,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 20:42:00,07/29/2017 21:12:00,0.539,0.359,8.568,0.088,5.778,1.15,,2.919,,0.988,1.003,,,1.307800469,,0.08776124,0.214,,0.172,0.226,0.505,0.14,0.158,,,0.156,,0.232,0.217,0.227,,,0.051,,0.077,,0.059,,,,,,,,,,,,,,,
07/29/2017 21:42:00,07/29/2017 22:12:00,0.628,0.193,4.243,0.137,2.904,0.412,,1.004,,0.339,0.412,,,0.33697125,,,0.058,,0.053,0.081,0.181,0.109,,,,,,,,0.178,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 22:42:00,07/29/2017 23:12:00,0.422,0.209,3.871,0.071,2.284,0.396,,0.881,,0.29,0.498,,,0.361480427,,,0.073,,0.064,0.074,0.149,0.079,,,,0.059,,,,0.202,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 23:42:00,07/30/2017 0:12:00,0.497,0.221,5.04,0.092,2.861,0.507,,1.126,,0.381,0.687,,,0.549286792,,,0.121,,0.096,0.102,0.213,0.112,,,,0.111,,0.068,0.064,0.298,0.0567,,,,,,,,,,,,,,,,,,,,,
07/30/2017 0:41:00,07/30/2017 1:11:00,0.529,0.266,6.607,0.112,3.544,0.596,,1.341,,0.442,0.733,,,0.594877437,,,0.118,,0.097,0.111,0.241,0.106,0.051,,,0.104,,0.065,0.068,0.311,0.0746,,,,,,,,0.067,,,,,,,,,,,,,
07/30/2017 1:41:00,07/30/2017 2:11:00,0.53,0.253,21.713,0.12,17.003,4.26,,10.085,0.145,3.436,3.834,,0.184166667,4.63879,,0.24752,0.813,0.107,0.616,0.619,1.586,0.268,0.465,0.086,0.062,0.49,,0.544,0.508,0.555,0.0759,,,0.1,0.135,,0.12,,0.112,,,,,,,,,,,,,
07/30/2017 3:41:00,07/30/2017 4:11:00,0.568,0.34,34.105,0.133,29.973,6.886,,17.277,0.255,5.958,6.297,,0.324560062,7.873520562,,0.45774725,1.361,0.158,1.02,1.114,2.757,0.426,0.887,0.127,0.085,0.879,,1.08,0.959,0.805,0.0576,,,0.212,0.307,,0.233,,0.138,0.095,,,,,,,,0.082,,,,
07/30/2017 4:40:00,07/30/2017 5:10:00,0.776,0.615,22.159,0.152,16.966,3.811,,9.024,0.135,3.063,3.339,,0.176770562,4.024446562,,0.222234396,0.704,0.121,0.545,0.564,1.392,0.263,0.437,0.085,0.073,0.467,,0.534,0.49,0.602,0.1403,,0.1,0.114,0.139,,0.225,,0.104,,,,,,,,,0.053,,,,
07/30/2017 5:40:00,07/30/2017 6:10:00,0.702,0.28,23.827,0.132,16.602,3.513,,8.051,0.122,2.73,2.83,,0.137066,3.261930333,,0.167424917,0.52,0.069,0.398,0.419,1.013,0.201,0.315,,0.052,0.363,,0.382,0.34,0.465,0.0631,,,0.086,0.08,,0.081,,0.087,,,,,,,,,,,,,
07/30/2017 6:40:00,07/30/2017 7:10:00,0.515,0.237,11.225,0.076,8.444,1.754,,4.322,0.059,1.438,1.599,,0.072797062,1.863876656,0.13411575,0.112971375,0.32,,0.254,0.273,0.67,0.145,0.18,,,,,0.241,0.226,0.318,,,,0.058,,,,,0.063,,,,,,,,,0.063,,,,
07/30/2017 7:39:00,07/30/2017 8:09:00,0.466,0.195,11.289,0.068,8.935,1.912,,4.585,0.065,1.567,1.522,,0.065716771,1.789529896,,0.103204167,0.263,,0.196,0.225,0.526,0.119,0.132,,,0.16,,0.193,0.174,0.203,,,,,,,,,0.105,,,,,,,,,0.061,,,,
