start,TVOCs,PIDtype
2021-02-06 10:23:03,122.41,SPOD
2021-02-06 10:23:33,122.43,SPOD
2021-02-06 10:24:03,122.33,SPOD
2021-02-06 10:24:33,122.28,SPOD
2021-02-06 10:25:03,122.37,SPOD
2021-02-06 10:25:34,122.94,SPOD
2021-02-06 10:26:05,123.36,SPOD
2021-02-06 10:26:35,123.52,SPOD
2021-02-06 10:27:05,123.97,SPOD
2021-02-06 10:27:35,124.01,SPOD
2021-02-06 10:28:05,123.85,SPOD
2021-02-06 10:28:35,124.06,SPOD
2021-02-06 10:29:05,124.44,SPOD
2021-02-06 10:29:35,125.65,SPOD
2021-02-06 10:30:06,126.39,SPOD
2021-02-06 10:30:36,127.28,SPOD
2021-02-06 10:31:06,129.46,SPOD
2021-02-06 10:31:36,131.2,SPOD
2021-02-06 10:32:06,131.61,SPOD
2021-02-06 10:32:36,132.52,SPOD
2021-02-06 10:33:06,133.66,SPOD
2021-02-06 10:33:36,133.8,SPOD
2021-02-06 10:34:06,132.35,SPOD
2021-02-06 10:34:36,130.46,SPOD
2021-02-06 10:35:08,129.4,SPOD
2021-02-06 10:36:11,129.12,SPOD
2021-02-06 10:36:41,129.1,SPOD
2021-02-06 10:37:11,129.24,SPOD
2021-02-06 10:37:41,129.38,SPOD
2021-02-06 10:38:11,129.78,SPOD
2021-02-06 10:38:41,130.18,SPOD
2021-02-06 10:39:11,130.45,SPOD
2021-02-06 10:39:41,130.7,SPOD
2021-02-06 10:40:11,130.78,SPOD
2021-02-06 10:40:42,130.81,SPOD
2021-02-06 10:41:12,130.46,SPOD
2021-02-06 10:41:42,130.15,SPOD
2021-02-06 10:42:12,130.23,SPOD
2021-02-06 10:42:42,129.87,SPOD
2021-02-06 10:43:12,129.49,SPOD
2021-02-06 10:43:42,129.32,SPOD
2021-02-06 10:44:12,129.3,SPOD
2021-02-06 10:44:42,129.68,SPOD
2021-02-06 10:45:12,129.58,SPOD
2021-02-06 10:45:44,129.51,SPOD
2021-02-06 10:46:14,129.48,SPOD
2021-02-06 10:46:44,129.25,SPOD
2021-02-06 10:47:14,128.77,SPOD
2021-02-06 10:47:44,128.54,SPOD
2021-02-06 10:48:14,128.49,SPOD
2021-02-06 10:48:44,128.53,SPOD
2021-02-06 10:49:14,128.57,SPOD
2021-02-06 10:49:44,128.73,SPOD
2021-02-06 10:50:15,128.81,SPOD
2021-02-06 10:50:45,128.65,SPOD
2021-02-06 10:51:18,128.47,SPOD
2021-02-06 10:51:48,128.28,SPOD
2021-02-06 10:52:19,127.67,SPOD
2021-02-06 10:52:49,127.39,SPOD
2021-02-06 10:53:19,127.15,SPOD
2021-02-06 10:53:49,126.92,SPOD
2021-02-06 10:54:19,126.76,SPOD
2021-02-06 10:54:49,126.47,SPOD
2021-02-06 10:55:19,126.28,SPOD
2021-02-06 10:55:49,127.22,SPOD
2021-02-06 10:56:19,127.87,SPOD
2021-02-06 10:56:50,129.51,SPOD
2021-02-06 10:57:20,131.28,SPOD
2021-02-06 10:57:50,132.08,SPOD
2021-02-06 10:58:20,131.79,SPOD
2021-02-06 10:58:50,130.74,SPOD
2021-02-06 10:59:20,129.24,SPOD
2021-02-06 10:59:50,128.83,SPOD
2021-02-06 11:00:20,128.68,SPOD
2021-02-06 11:00:50,128.32,SPOD
2021-02-06 11:01:21,128.56,SPOD
2021-02-06 11:01:51,130,SPOD
2021-02-06 11:02:21,130.76,SPOD
2021-02-06 11:02:51,131.22,SPOD
2021-02-06 11:03:21,131.26,SPOD
2021-02-06 11:03:51,130.88,SPOD
2021-02-06 11:04:21,130.39,SPOD
2021-02-06 11:04:51,130.42,SPOD
2021-02-06 11:05:21,130.5,SPOD
2021-02-06 11:05:51,130.29,SPOD
2021-02-06 11:06:22,130.76,SPOD
2021-02-06 11:06:55,130.67,SPOD
2021-02-06 11:07:33,130.54,SPOD
2021-02-06 11:08:04,130.28,SPOD
2021-02-06 11:08:34,130.06,SPOD
2021-02-06 11:09:04,129.92,SPOD
2021-02-06 11:09:34,129.69,SPOD
2021-02-06 11:10:04,129.62,SPOD
2021-02-06 11:10:34,129.31,SPOD
2021-02-06 11:11:04,131.04,SPOD
2021-02-06 11:11:34,132.11,SPOD
2021-02-06 11:12:04,132.83,SPOD
2021-02-06 11:12:35,133.16,SPOD
2021-02-06 11:13:05,132.85,SPOD
2021-02-06 11:13:35,132.13,SPOD
2021-02-06 11:14:05,130.62,SPOD
2021-02-06 11:14:35,129.12,SPOD
2021-02-06 11:15:05,127.8,SPOD
2021-02-06 11:15:35,126.89,SPOD
2021-02-06 11:16:05,126.01,SPOD
2021-02-06 11:16:35,125.28,SPOD
2021-02-06 11:17:06,125.06,SPOD
2021-02-06 11:17:36,125.13,SPOD
2021-02-06 11:18:06,125.91,SPOD
2021-02-06 11:18:36,126.57,SPOD
2021-02-06 11:19:06,126.41,SPOD
2021-02-06 11:19:36,125.87,SPOD
2021-02-06 11:20:06,125.43,SPOD
2021-02-06 11:20:36,125.13,SPOD
2021-02-06 11:21:06,125.65,SPOD
2021-02-06 11:21:37,125.7,SPOD
2021-02-06 11:22:07,125.78,SPOD
2021-02-06 11:22:37,125.55,SPOD
2021-02-06 11:23:40,125.36,SPOD
2021-02-06 11:24:10,125.47,SPOD
2021-02-06 11:24:40,125.04,SPOD
2021-02-06 11:25:10,124.99,SPOD
2021-02-06 11:25:40,124.87,SPOD
2021-02-06 11:26:10,123.78,SPOD
2021-02-06 11:26:40,123.01,SPOD
2021-02-06 11:27:10,122.95,SPOD
2021-02-06 11:27:41,124.06,SPOD
2021-02-06 11:28:11,124.68,SPOD
2021-02-06 11:28:41,124.5,SPOD
2021-02-06 11:29:11,124.35,SPOD
2021-02-06 11:29:41,123.57,SPOD
2021-02-06 11:30:11,123.23,SPOD
2021-02-06 11:30:41,123.45,SPOD
2021-02-06 11:31:11,123.38,SPOD
2021-02-06 11:31:41,123.73,SPOD
2021-02-06 11:32:11,123.82,SPOD
2021-02-06 11:32:42,124,SPOD
2021-02-06 11:33:12,123.75,SPOD
2021-02-06 11:33:42,123.74,SPOD
2021-02-06 11:34:12,123.92,SPOD
2021-02-06 11:34:42,124.26,SPOD
2021-02-06 11:35:12,124.65,SPOD
2021-02-06 11:35:43,124.9,SPOD
2021-02-06 11:36:13,125.53,SPOD
2021-02-06 11:36:43,126.22,SPOD
2021-02-06 11:37:14,126.79,SPOD
2021-02-06 11:37:44,127.1,SPOD
2021-02-06 11:38:14,126.79,SPOD
2021-02-06 11:38:49,126.43,SPOD
2021-02-06 11:39:19,126.2,SPOD
2021-02-06 11:39:49,125.38,SPOD
2021-02-06 11:40:19,124.7,SPOD
2021-02-06 11:40:49,124.28,SPOD
2021-02-06 11:41:19,124.07,SPOD
2021-02-06 11:41:49,123.82,SPOD
2021-02-06 11:42:19,124.02,SPOD
2021-02-06 11:42:49,123.88,SPOD
2021-02-06 11:43:19,123.42,SPOD
2021-02-06 11:43:49,123.27,SPOD
2021-02-06 11:44:20,123.12,SPOD
2021-02-06 11:44:50,123.03,SPOD
2021-02-06 11:45:20,122.88,SPOD
2021-02-06 11:45:50,122.72,SPOD
2021-02-06 11:46:20,122.57,SPOD
2021-02-06 11:46:50,122.37,SPOD
2021-02-06 11:47:20,122.24,SPOD
2021-02-06 11:47:50,122.08,SPOD
2021-02-06 11:48:20,122.19,SPOD
2021-02-06 11:48:51,123.39,SPOD
2021-02-06 11:49:21,124.12,SPOD
2021-02-06 11:49:51,127.11,SPOD
2021-02-06 11:50:21,127.52,SPOD
2021-02-06 11:50:51,126.12,SPOD
2021-02-06 11:51:21,125.72,SPOD
2021-02-06 11:51:51,124.78,SPOD
2021-02-06 11:52:21,124.39,SPOD
2021-02-06 11:52:51,123.98,SPOD
2021-02-06 11:53:22,123.99,SPOD
2021-02-06 11:53:52,123.84,SPOD
2021-02-06 11:54:26,123.67,SPOD
2021-02-06 11:55:05,123.6,SPOD
2021-02-06 11:55:35,123.19,SPOD
2021-02-06 11:56:05,122.96,SPOD
2021-02-06 11:56:35,122.8,SPOD
2021-02-06 11:57:05,122.74,SPOD
2021-02-06 11:57:35,122.7,SPOD
2021-02-06 11:58:05,122.69,SPOD
2021-02-06 11:58:35,122.55,SPOD
2021-02-06 11:59:05,122.36,SPOD
2021-02-06 11:59:35,122.26,SPOD
2021-02-06 12:00:06,122.12,SPOD
2021-02-06 12:00:36,122.03,SPOD
2021-02-06 12:01:06,122.06,SPOD
2021-02-06 12:01:36,122.17,SPOD
2021-02-06 12:02:06,122.27,SPOD
2021-02-06 12:02:36,122.21,SPOD
2021-02-06 12:03:06,122.37,SPOD
2021-02-06 12:03:36,122.5,SPOD
2021-02-06 12:04:06,122.65,SPOD
2021-02-06 12:04:37,122.69,SPOD
2021-02-06 12:05:07,122.73,SPOD
2021-02-06 12:05:37,122.9,SPOD
2021-02-06 12:06:07,122.96,SPOD
2021-02-06 12:06:37,122.96,SPOD
2021-02-06 12:07:07,122.92,SPOD
2021-02-06 12:07:37,122.96,SPOD
2021-02-06 12:08:07,123,SPOD
2021-02-06 12:08:37,123.18,SPOD
2021-02-06 12:09:08,123.12,SPOD
2021-02-06 12:09:38,123.5,SPOD
2021-02-06 12:10:08,123.52,SPOD
2021-02-06 12:11:15,123.43,SPOD
2021-02-06 12:11:45,123.25,SPOD
2021-02-06 12:12:15,123.12,SPOD
2021-02-06 12:12:45,123.05,SPOD
2021-02-06 12:13:15,122.99,SPOD
2021-02-06 12:13:45,122.9,SPOD
2021-02-06 12:14:15,122.9,SPOD
2021-02-06 12:14:45,122.97,SPOD
2021-02-06 12:15:16,123.07,SPOD
2021-02-06 12:15:46,123.14,SPOD
2021-02-06 12:16:16,123.2,SPOD
2021-02-06 12:16:46,123.23,SPOD
2021-02-06 12:17:16,123.43,SPOD
2021-02-06 12:17:46,123.74,SPOD
2021-02-06 12:18:16,123.86,SPOD
2021-02-06 12:18:46,123.91,SPOD
2021-02-06 12:19:16,123.96,SPOD
2021-02-06 12:19:46,123.67,SPOD
2021-02-06 12:20:17,123.55,SPOD
2021-02-06 12:20:47,123.69,SPOD
2021-02-06 12:21:17,123.83,SPOD
2021-02-06 12:21:47,123.89,SPOD
2021-02-06 12:22:17,124.1,SPOD
2021-02-06 12:22:47,124.24,SPOD
2021-02-06 12:23:17,124.41,SPOD
2021-02-06 12:23:47,124.56,SPOD
